SAM TAYLOR-WOOD,39,1,I'M IN LOVE WITH A GERMAN FILM STAR,1,2009
SLYPAUL,40,34,THE SEQUEL,1,2009
KID CUDI,1,1,DAY 'N' NITE,2,2009
DAVID GUETTA,2,2,EVERYTIME WE TOUCH,2,2009
TIMMY VEGAS,3,2,ANOTHER DIMENSION,2,2009
ERIC PRYDZ,4,1,PJANOO,2,2009
CHASE,5,3,DUPPY MAN,2,2009
PLATNUM,6,2,LOVE SHY,2,2009
CUT COPY,7,3,HEARTS ON FIRE,2,2009
FREEMASONS,8,2,WHEN YOU TOUCH ME,2,2009
X-PRESS 2,9,4,LAZY,2,2009
BROOKES BROTHERS,10,1,TEAR YOU DOWN/DRIFTER,2,2009
SASH,11,2,RAINDROPS,2,2009
GURU JOSH PROJECT,12,1,INFINITY 2008,2,2009
OUTSIDERS,13,2,KEEP THIS FIRE BURNING,2,2009
DAN LE SAC,14,14,THOU SHALT ALWAYS KILL,2,2009
HIGH CONTRAST,15,2,TWILIGHTS LAST GLEAMING/MADE IT LAST,2,2009
APHEX TWIN,16,3,WINDOWLICKER,2,2009
SANDY RIVERA,17,1,CHANGES,2,2009
DEPECHE MODE,18,2,ENJOY THE SILENCE 04,2,2009
SHY FX,19,2,FEELINGS,2,2009
TC,20,8,DEEP/ROBOTS,2,2009
YVES LAROCK,21,1,RISE UP,2,2009
WILEY,22,1,WEARING MY ROLEX,2,2009
CHASE,23,1,TAKE ME AWAY,2,2009
J MAJIK,24,2,CRAZY WORLD,2,2009
ERASURE,25,25,LOVE TO HATE YOU,2,2009
POWERHOUSE,26,7,RHYTHM OF THE NIGHT,2,2009
YVES DERUYTER,27,27,FEEL FREE,2,2009
BOB SINCLAIR,28,2,THE BEAT GOES ON,2,2009
KURTIS MANTRONIK PTS CHAMONIX,29,7,77 STRINGS,2,2009
DJ SUV,30,6,INTA OUTA,2,2009
JUNIOR JACK,31,1,E SAMBA,2,2009
BENNY BENASSI PTS THE BIZ,32,1,SATISFACTION,2,2009
MARTIN SOLVEIG,33,1,ROCKING MUSIC,2,2009
TIGA,34,1,PLEASURE FROM THE BASS,2,2009
CHAKA KHAN,35,10,I'M EVERY WOMAN/AIN'T NOBODY,2,2009
DJ HYPE,36,36,YOU MUST THINK FIRST,2,2009
ARTIFICIAL INTELLIGENCE,37,9,UPRISING/THROUGH THE GATE,2,2009
DEPECHE MODE,38,11,HALO,2,2009
TIGA,39,2,LOUDER THAN A BOMB,2,2009
AFX,40,16,LISBON ACID,2,2009
PRODIGY,1,1,OMEN,3,2009
CHASE,2,2,AGAINST ALL ODDS,3,2009
KID CUDI,3,1,DAY 'N' NITE,3,2009
ERIC PRYDZ,4,1,PJANOO,3,2009
SASH,5,2,RAINDROPS,3,2009
CHASE,6,1,TAKE ME AWAY,3,2009
RUDENKO,7,7,EVERYBODY,3,2009
CHASE,8,1,PIECES,3,2009
GURU JOSH PROJECT,9,1,INFINITY 2008,3,2009
DAVID GUETTA,10,2,EVERYTIME WE TOUCH,3,2009
ALEX GAUDINO,11,2,WATCH OUT,3,2009
X-PRESS 2,12,4,LAZY,3,2009
PLATNUM,13,2,LOVE SHY,3,2009
PRODIGY,14,14,OUT OF SPACE,3,2009
PRODIGY,15,15,WIND IT UP,3,2009
PRODIGY,16,1,VOODOO PEOPLE,3,2009
MOVING FUSION,17,11,TURBULENCE,3,2009
LCD SOUNDSYSTEM,18,2,DISCO INFILTRATOR,3,2009
SHY FX,19,2,FEELINGS,3,2009
PENDULUM,20,2,BLOOD SUGAR/AXLE GRINDER,3,2009
UTAH SAINTS,21,1,SOMETHING GOOD '08,3,2009
J MAJIK,22,2,CRAZY WORLD,3,2009
KIDDA,23,7,UNDER THE SUN,3,2009
PENDULUM,24,2,SHOWDOWN,3,2009
PRODIGY,25,25,FIRE/JERICHO,3,2009
PRODIGY,26,20,ONE LOVE,3,2009
PRODIGY,27,18,EVERYBODY IN THE PLACE,3,2009
PRODIGY,28,28,NO GOOD,3,2009
BOOTY LUV,29,2,BOOGIE 2NITE,3,2009
FREEMASONS,30,2,WHEN YOU TOUCH ME,3,2009
FILTHY DUKES,31,10,TUPAC ROBOT CLUB ROCK,3,2009
SAM TAYLOR-WOOD,32,1,I'M IN LOVE WITH A GERMAN FILM STAR,3,2009
DAN LE SAC,33,14,THOU SHALT ALWAYS KILL,3,2009
BINARY FINARY,34,34,1998,3,2009
TENTH CHAPTER,35,21,WHITELAND,3,2009
BASSBIN TWINS,36,17,OUT OF HAND,3,2009
UNCREDITED ARTIST,37,8,NEED A FIX,3,2009
SYNTEK,38,38,YOUR FACE,3,2009
CHEMICAL BROTHERS,39,1,OUT OF CONTROL,3,2009
PLUMP DJS,40,33,SCRAM,3,2009
STEVE ANGELLO,1,1,SHOW ME LOVE,4,2009
ROYKSOPP,2,2,HAPPY UP HERE,4,2009
CHASE,3,2,AGAINST ALL ODDS,4,2009
KID CUDI,4,1,DAY 'N' NITE,4,2009
DOMAN LINCOLN,5,4,RUNNIN',4,2009
ERIC PRYDZ,6,1,PJANOO,4,2009
CHASE,7,1,PIECES,4,2009
KIDDA,8,7,UNDER THE SUN,4,2009
CHASE,9,2,DUMPLING RIDDIM/DISCO,4,2009
J MAJIK,10,2,CRAZY WORLD,4,2009
SHY FX,11,2,EVERYDAY,4,2009
BENGA,12,1,NIGHT,4,2009
SUB FOCUS,13,1,TIMEWARP/JOIN THE DOTS,4,2009
X PRESS 2,14,4,LAZY,1,2009
SASH,15,2,RAINDROPS,4,2009
GURU JOSH PROJECT,16,1,INFINITY 2008,4,2009
PRODIGY,17,1,OMEN,4,2009
FILTHY DUKES,18,5,THIS RHYTHM,4,2009
PRODIGY,19,19,NO GOOD,4,2009
PRODIGY,20,2,FIRESTARTER,4,2009
PRODIGY,21,2,BREATHE,4,2009
HIGH CONTRAST,22,22,LET THE MUSIC PLAY,4,2009
ARTIFICIAL INTELLIGENCE,23,9,UPRISING/THROUGH THE GATE,4,2009
YVES LAROCK,24,3,ZOOKEY  LIFT YOUR LEG UP,1,2009
STANTON WARRIORS,25,17,BLUE/STILL HERE,4,2009
FRANKIE VALLI,26,1,BEGGIN',4,2009
YVES LAROCK,27,1,RISE UP,4,2009
CHASE,28,1,HURT YOU/SELL ME YOUR SOUL,4,2009
CHROMEO,29,8,NEEDY GIRL,4,2009
MR SCRUFF,30,16,DONKEY RIDE,4,2009
UTAH SAINTS,31,1,SOMETHING GOOD '08,4,2009
WILEY,32,1,WEARING MY ROLEX,4,2009
FREEMASONS,33,2,WHEN YOU TOUCH ME,4,2009
ALEX GAUDINO,34,2,WATCH OUT,4,2009
BEN WATT,35,10,GUINEA PIG,4,2009
PLATNUM,36,2,LOVE SHY,4,2009
OUTSIDERS,37,2,KEEP THIS FIRE BURNING,4,2009
TIMMY VEGAS,38,2,ANOTHER DIMENSION,4,2009
PENDULUM,39,2,SHOWDOWN,4,2009
RUDENKO,40,5,EVERYBODY,4,2009
HIGH CONTRAST,1,1,BASEMENT TRACK,5,2009
BENGA,2,1,NIGHT,5,2009
STEVE ANGELLO,3,1,SHOW ME LOVE,5,2009
ULTRA NATE,4,4,FREE,5,2009
OUTSIDERS,5,2,KEEP THIS FIRE BURNING,5,2009
ROYKSOPP,6,2,HAPPY UP HERE,5,2009
PRODIGY,7,1,OMEN,5,2009
T2,8,3,COME OVER,5,2009
CHASE,9,2,AGAINST ALL ODDS,5,2009
APHEX TWIN,10,5,COME TO DADDY,5,2009
COPYRIGHT,11,11,TIME,5,2009
AFX,12,12,LISBON ACID,5,2009
BLAZE,13,1,MOST PRECIOUS LOVE,5,2009
FREEMASONS,14,1,UNINVITED,5,2009
KIDDA,15,7,UNDER THE SUN,5,2009
PENDULUM,16,2,SHOWDOWN,5,2009
KID CUDI,17,1,DAY 'N' NITE,5,2009
PRODIGY,18,13,OUT OF SPACE,5,2009
PRODIGY,19,14,FIRE/JERICHO,5,2009
PRODIGY,20,19,NO GOOD,5,2009
PRODIGY,21,1,VOODOO PEOPLE,5,2009
PRODIGY,22,2,FIRESTARTER,5,2009
ORIGIN UNKNOWN,23,3,VALLEY OF THE SHADOWS,5,2009
APHEX TWIN,24,3,WINDOWLICKER,5,2009
LANGE,25,4,I BELIEVE,5,2009
PLUMP DJS,26,26,ELECTRIC DISCO/PLUMPY CHUNKS,5,2009
LEE CABRERA,27,3,SHAKE IT,5,2009
MARTIN SOLVEIG,28,1,ROCKING MUSIC,5,2009
PENDULUM,29,1,ANOTHER PLANET/VOYAGER,5,2009
PRODIGY,30,7,CHARLY,5,2009
HIGH CONTRAST,31,2,TWILIGHTS LAST GLEAMING/MADE IT LAST,5,2009
CHAKA KHAN,32,10,I'M EVERY WOMAN/AIN'T NOBODY,5,2009
UNKLE,33,17,SELF DEFENCE EP,5,2009
FRESH,34,1,CAPTURE THE FLAG,5,2009
NU TONE,35,18,SEVEN YEARS,5,2009
LCD SOUNDSYSTEM,36,2,DISCO INFILTRATOR,5,2009
ILL LOGIC,37,37,WE ARE NOW/THE PRICE,5,2009
VARIOUS ARTISTS,38,16,CODE RED EP,5,2009
AXWELL,39,1,FEEL THE VIBE,5,2009
SHY FX,40,2,FEELINGS,5,2009
DIZZEE RASCAL,1,1,BONKERS,6,2009
PRODIGY,2,1,WARRIOR'S DANCE,6,2009
DEADMAU5,3,2,I REMEMBER,6,2009
TIGA,4,3,SHOES,6,2009
ERIC PRYDZ,5,1,PJANOO,6,2009
STEVE ANGELLO,6,1,SHOW ME LOVE,6,2009
HIGH CONTRAST,7,1,BASEMENT TRACK,6,2009
PRODIGY,8,8,WIND IT UP,6,2009
PRODIGY,9,1,VOODOO PEOPLE,6,2009
PRODIGY,10,10,POISON,6,2009
PRODIGY,11,2,BREATHE,6,2009
HIGH CONTRAST,12,2,TWILIGHTS LAST GLEAMING/MADE IT LAST,6,2009
JOEY NEGRO,13,1,MAKE A MOVE ON ME,6,2009
PRODIGY,14,1,VOODOO PEOPLE/OUT OF SPACE,6,2009
WONDERLAND AVENUE,15,7,WHITE HORSE,6,2009
SUB FOCUS,16,3,AIRPLANE/FLAMENCO,6,2009
BUGZ IN THE ATTIC,17,1,DON'T STOP THE MUSIC,6,2009
FREEMASONS,18,1,UNINVITED,6,2009
J MAJIK,19,2,CRAZY WORLD,6,2009
BROOKES BROTHERS,20,1,TEAR YOU DOWN/DRIFTER,6,2009
PRODIGY,21,1,OMEN,6,2009
DOMAN LINCOLN,22,3,RUNNIN',6,2009
CHASE,23,2,AGAINST ALL ODDS,6,2009
PRODIGY,24,19,ONE LOVE,6,2009
PRODIGY,25,8,NO GOOD,6,2009
ORIGIN UNKNOWN,26,3,VALLEY OF THE SHADOWS,6,2009
SLYPAUL,27,20,THE SEQUEL,6,2009
POWERHOUSE,28,7,RHYTHM OF THE NIGHT,6,2009
PRODIGY,29,1,SMACK MY BITCH UP,6,2009
INDUSTRY STANDARD,30,30,WHAT YOU WANT,6,2009
SOUTHSIDE SPINNERS,31,8,LUVSTRUCK,6,2009
SHIMON,32,1,BODY ROCK,6,2009
US3,33,24,GET OUT,6,2009
KATHY BROWN,34,7,DON'T GIVE UP,6,2009
DUBTRIBE SOUND SYSTEM,35,15,AUTOSOUL,6,2009
HIGH CONTRAST,36,4,BASEMENT TRACK,6,2009
FREESTYLERS,37,1,PUSH UP,6,2009
DEPECHE MODE,38,2,ENJOY THE SILENCE 04,6,2009
HIGH CONTRAST,39,2,RACING GREEN,6,2009
UNKLE,40,17,SELF DEFENCE EP,6,2009
DAVID GUETTA,1,1,WHEN LOVE TAKES OVER,7,2009
FREEMASONS,2,2,HEARTBREAK,7,2009
BASEMENT JAXX,3,3,RAINDROPS,7,2009
DIZZEE RASCAL,4,1,BONKERS,7,2009
PRODIGY,5,1,WARRIOR'S DANCE,7,2009
STEVE ANGELLO,6,1,SHOW ME LOVE,7,2009
DEADMAU5,7,2,I REMEMBER,7,2009
KID CUDI,8,1,DAY 'N' NITE,7,2009
PRODIGY,9,1,OMEN,7,2009
CLAUDE VONSTROKE,10,2,THE WHISTLER,7,2009
SUB FOCUS,11,1,TIMEWARP/JOIN THE DOTS,7,2009
J MAJIK,12,2,CRAZY WORLD,7,2009
PENDULUM,13,2,SHOWDOWN,7,2009
T2,14,2,COME OVER,7,2009
ULTRA NATE,15,4,FREE,7,2009
SHY FX,16,2,FEELINGS,7,2009
TOM NOVY,17,1,YOUR BODY,7,2009
TIGA,18,4,HOME,7,2009
SUB FOCUS,19,3,AIRPLANE/FLAMENCO,7,2009
SWITCH,20,6,A BIT PATCHY,7,2009
FREEMASONS,21,1,UNINVITED,7,2009
ARMAND VAN HELDEN,22,5,JE T'AIME,7,2009
WILEY,23,1,WEARING MY ROLEX,7,2009
PENDULUM,24,4,THE OTHER SIDE,7,2009
DJ Q,25,4,YOU WOT,7,2009
ERIC PRYDZ,26,1,PJANOO,7,2009
DELERIUM,27,4,SILENCE,7,2009
CHASE,28,2,AGAINST ALL ODDS,7,2009
HIGH CONTRAST,29,1,BASEMENT TRACK,7,2009
TIGA,30,3,SHOES,7,2009
PRODIGY,31,8,FIRE/JERICHO,7,2009
ORIGIN UNKNOWN,32,3,VALLEY OF THE SHADOWS,7,2009
PETE 'TWEAKER' BONES,33,33,WOODY/GOLDEN PONDS,7,2009
HIGH CONTRAST,34,8,LET THE MUSIC PLAY,7,2009
HIGH CONTRAST,35,12,RETURN OF FOREVER,7,2009
HOLDEN,36,15,A BREAK IN THE CLOUDS,7,2009
KINGS OF TOMORROW,37,3,THRU,7,2009
KINGS OF TOMORROW,38,30,ANOTHER DAY,7,2009
BLAZE,39,1,MOST PRECIOUS LOVE,7,2009
STANTON WARRIORS,40,17,BLUE/STILL HERE,7,2009
DEADMAU5,1,1,I REMEMBER,8,2009
DAVID GUETTA,2,1,WHEN LOVE TAKES OVER,8,2009
BASEMENT JAXX,3,3,RAINDROPS,8,2009
PRODIGY,4,1,WARRIOR'S DANCE,8,2009
FATBOY SLIM,5,5,CHAMPION SOUND,8,2009
DIGITALISM,6,6,IDEALISTIC,8,2009
SUB FOCUS,7,1,TIMEWARP/JOIN THE DOTS,8,2009
FREEMASONS,8,2,HEARTBREAK,8,2009
PRODIGY,9,8,FIRE/JERICHO,8,2009
FEDDE LE GRAND,10,1,PUT YOUR HANDS UP FOR DETROIT,8,2009
BROOKES BROTHERS,11,1,TEAR YOU DOWN/DRIFTER,8,2009
KID CUDI,12,1,DAY 'N' NITE,8,2009
STEVE ANGELLO,13,1,SHOW ME LOVE,8,2009
TIGA,14,3,SHOES,8,2009
DON DIABLO,15,15,HOOLIGANS,8,2009
PRODIGY,16,16,ONE LOVE,8,2009
PRODIGY,17,7,EVERYBODY IN THE PLACE,8,2009
A TRIBE CALLED QUEST,18,18,CAN I KICK IT,8,2009
PRODIGY,19,8,WIND IT UP,8,2009
PRODIGY,20,8,NO GOOD,8,2009
ORIGIN UNKNOWN,21,3,VALLEY OF THE SHADOWS,8,2009
SLYPAUL,22,20,THE SEQUEL,8,2009
BASSBIN TWINS,23,17,OUT OF HAND,8,2009
APHEX TWIN,24,5,COME TO DADDY,8,2009
POWERHOUSE,25,7,RHYTHM OF THE NIGHT,8,2009
PRODIGY,26,1,SMACK MY BITCH UP,8,2009
RAM TRILOGY,27,18,CHAPTER ONE,8,2009
APHEX TWIN,28,3,WINDOWLICKER,8,2009
PLUMP DJS,29,29,SCRAM,8,2009
SLAM,30,25,VIRTUOSO,8,2009
BENNY BENASSI PTS THE BIZ,31,1,SATISFACTION,8,2009
ADAM BEYER,32,32,COLLABS 100,8,2009
PLUMP DJS,33,3,CREEPSHOW/WEIGHED DOWN,8,2009
FREESTYLERS,34,1,PUSH UP,8,2009
RAS PROJECT,35,35,ORIGINAL SESSION,8,2009
HIGH CONTRAST,36,2,RACING GREEN,8,2009
DJ HYPE,37,29,DUBPLATE KILLAZ,8,2009
KINGS OF TOMORROW,38,3,THRU,8,2009
REFLEKT,39,1,NEED TO FEEL LOVED,8,2009
TOP CAT,40,33,CHAMPION DJ-EBONY DUSTBUSTERS,8,2009
CALVIN HARRIS,1,1,READY FOR THE WEEKEND,9,2009
DAVID GUETTA,2,1,WHEN LOVE TAKES OVER,9,2009
PRODIGY,3,1,WARRIOR'S DANCE,9,2009
DEADMAU5,4,1,I REMEMBER,9,2009
BLOC PARTY,5,1,ONE MORE CHANCE,9,2009
DIZZEE RASCAL,6,1,BONKERS,9,2009
SUB FOCUS,7,1,ROCK IT/FOLLOW THE LIGHT,9,2009
DELERIUM,8,4,SILENCE,9,2009
FREEMASONS,9,2,HEARTBREAK,9,2009
PRODIGY,10,6,NO GOOD,9,2009
VARIOUS ARTISTS,11,11,CODE RED EP,9,2009
PRODIGY,12,1,VOODOO PEOPLE/OUT OF SPACE,9,2009
MOBY,13,2,DISCO LIES,9,2009
ERIC PRYDZ,14,1,PJANOO,9,2009
SIMIAN MOBILE DISCO,15,2,AUDACITY OF HUGE,9,2009
MSTRKRFT,16,4,HEARTBREAKER,9,2009
PRODIGY,17,8,FIRE/JERICHO,9,2009
PRODIGY,18,5,ONE LOVE,9,2009
PRODIGY,19,8,WIND IT UP,9,2009
PRODIGY,20,7,POISON,9,2009
PRODIGY,21,2,FIRESTARTER,9,2009
ORIGIN UNKNOWN,22,3,VALLEY OF THE SHADOWS,9,2009
GAT DECOR,23,15,IN THE HEAD,9,2009
APHEX TWIN,24,5,COME TO DADDY,9,2009
MOVING FUSION,25,11,TURBULENCE,9,2009
ROOTS MANUVA,26,1,WITNESS,9,2009
HIGH CONTRAST,27,8,LET THE MUSIC PLAY,9,2009
HIGH CONTRAST,28,4,BASEMENT TRACK,9,2009
TIGA,29,1,PLEASURE FROM THE BASS,9,2009
TIGA,30,2,LOUDER THAN A BOMB,9,2009
BLAZE,31,1,MOST PRECIOUS LOVE,9,2009
HIGH CONTRAST,32,5,WHEN THE LIGHTS GO DOWN,9,2009
ROBIN S,33,2,SHOW ME LOVE,9,2009
COPYRIGHT,34,5,BRING ME LOVE,9,2009
SANTOS,35,35,ELEKTRO/COMBINATION,9,2009
WONDERLAND AVENUE,36,7,WHITE HORSE,9,2009
KATHY BROWN,37,3,GET ANOTHER LOVE,9,2009
COPYRIGHT,38,11,WE CAN RISE,9,2009
TOMMY BOY,39,14,LOVE & HAPPINESS/IN DA CITY,9,2009
RONI SIZE,40,4,IT'S A BIG UP THING/IT'S A JAZZ THING,9,2009
MADONNA,1,1,CELEBRATION,10,2009
CALVIN HARRIS,2,1,READY FOR THE WEEKEND,10,2009
PRODIGY,3,1,TAKE ME TO THE HOSPITAL,10,2009
DIZZEE RASCAL,4,1,BONKERS,10,2009
DAVID GUETTA,5,1,WHEN LOVE TAKES OVER,10,2009
DEADMAU5,6,1,I REMEMBER,10,2009
EXAMPLE,7,7,WATCH THE SUN COME UP,10,2009
DIZZEE RASCAL,8,2,HOLIDAY,10,2009
STEVE ANGELLO,9,1,SHOW ME LOVE,10,2009
PRODIGY,10,1,WARRIOR'S DANCE,10,2009
SIMIAN MOBILE DISCO,11,2,AUDACITY OF HUGE,10,2009
MSTRKRFT,12,4,HEARTBREAKER,10,2009
PRODIGY,13,1,VOODOO PEOPLE,10,2009
PENDULUM,14,2,BLOOD SUGAR/AXLE GRINDER,10,2009
JUSTICE,15,1,DANCE,10,2009
ALEX GAUDINO,16,2,WATCH OUT,10,2009
FREEMASONS,17,2,HEARTBREAK,10,2009
BASEMENT JAXX,18,3,RAINDROPS,10,2009
BLOC PARTY,19,1,ONE MORE CHANCE,10,2009
VITAL ELEMENTS,20,20,1984/COCAINE IMPORT,10,2009
PRODIGY,21,6,NO GOOD,10,2009
ORIGIN UNKNOWN,22,3,VALLEY OF THE SHADOWS,10,2009
PRODIGY,23,1,SMACK MY BITCH UP,10,2009
JOSHUA RYAN,24,3,PISTOL WHIP,10,2009
VOODOO,25,8,BLOOD IS PUMPIN',10,2009
HI-GATE,26,3,GONNA WORK IT OUT,10,2009
MAURO PICOTTO,27,2,LIKE THIS LIKE THAT,10,2009
DJ TIESTO,28,3,URBAN TRAIN,10,2009
HIGH CONTRAST,29,8,LET THE MUSIC PLAY,10,2009
MOONY,30,3,DOVE,10,2009
HIGH CONTRAST,31,4,BASEMENT TRACK,10,2009
INSTANT FUNK,32,32,I GOT MY MIND MADE UP,10,2009
LOGG,33,33,I KNOW YOU WILL/YOU'VE GOT THAT,10,2009
NU TONE,34,18,SEVEN YEARS,10,2009
PRODIGY,35,1,VOODOO PEOPLE/OUT OF SPACE,10,2009
SHY FX,36,2,FEELINGS,10,2009
LONDON ELEKTRICITY,37,10,REMEMBER THE FUTURE,10,2009
BENNY PAGE,38,3,TURN DOWN THE LIGHTS/SOUNDBOY BURIAL,10,2009
TOMMY BOY,39,14,LOVE & HAPPINESS/IN DA CITY,10,2009
FRANKIE VALLI,40,1,BEGGIN',10,2009
DUCK SAUCE,1,1,ANYWAY,11,2009
MADONNA,2,1,CELEBRATION,11,2009
CALVIN HARRIS,3,1,READY FOR THE WEEKEND,11,2009
DEADMAU5,4,2,GHOSTS 'N' STUFF,11,2009
DEADMAU5,5,1,I REMEMBER,11,2009
MIIKE SNOW,6,2,BLACK & BLUE,11,2009
DIZZEE RASCAL,7,2,HOLIDAY,11,2009
SUB FOCUS,8,1,ROCK IT/FOLLOW THE LIGHT,11,2009
JAF,9,9,ABSOLUTELY,11,2009
DJ REMY,10,10,SERIOUS DAMAGE/BACKSTABBER,11,2009
CHASE,11,2,AGAINST ALL ODDS,11,2009
FREEMASONS,12,2,HEARTBREAK,11,2009
DIZZEE RASCAL,13,1,BONKERS,11,2009
PRODIGY,14,1,TAKE ME TO THE HOSPITAL,11,2009
EXAMPLE,15,3,WATCH THE SUN COME UP,11,2009
ORIGIN UNKNOWN,16,3,VALLEY OF THE SHADOWS,11,2009
GAT DECOR,17,15,IN THE HEAD,11,2009
DA HOOL,18,17,MEET HER AT THE LOVE PARADE,11,2009
MICHELLE WEEKS,19,2,DON'T GIVE UP,11,2009
DJ TAUCHER,20,20,SCIENCE FICTION/WINTERLOVE,11,2009
OD404,21,21,DIGITALIS/ROCK THE DISCO,11,2009
SOLID SESSIONS,22,15,JANEIRO,11,2009
DJ REMY,23,23,RADIATE/PUMPED UP,11,2009
FAITHLESS,24,11,MUHAMMAD ALI,11,2009
PPK,25,2,RESURECTION,11,2009
RALPHIE B,26,12,MASSIVE,11,2009
PLUMP DJS,27,3,CREEPSHOW/WEIGHED DOWN,11,2009
FRESH BC,28,4,COLOSSUS/HOODED,11,2009
INGO PTS CAROLINE BANX,29,29,A PARADOX/CRUIZE,11,2009
MOBY,30,6,LIFT ME UP,11,2009
JUDGE JULES,31,31,SEIZURE,11,2009
MARTIN SOLVEIG,32,1,JEALOUSY,11,2009
SHY FX,33,2,FEELINGS,11,2009
LIFELIKE,34,4,DISCOPOLIS,11,2009
BENNY PAGE,35,3,TURN DOWN THE LIGHTS/SOUNDBOY BURIAL,11,2009
SUB FOCUS,36,3,AIRPLANE/FLAMENCO,11,2009
BASEMENT JAXX,37,4,HUSH BOY,11,2009
BODYROX,38,1,YEAH YEAH,11,2009
FUTURE FUNK SQUAD,39,16,TOWARDS THE SUN,11,2009
SUB FOCUS,40,2,SPECIAL PLACE/DRUGGY,11,2009
N-DUBZ,1,1,I NEED YOU,12,2009
CHASE,2,2,END CREDITS,12,2009
DAVID GUETTA,3,3,SEXY CHICK,12,2009
DAVID GUETTA,4,4,ONE LOVE,12,2009
CALVIN HARRIS,5,3,FLASHBACK,12,2009
AGNES,6,5,I NEED YOU NOW,12,2009
IAN CAREY PROJECT,7,7,GET SHAKY,12,2009
DIZZEE RASCAL,8,2,HOLIDAY,12,2009
COBRA STARSHIP,9,8,GOOD GIRLS GO BAD,12,2009
DUCK SAUCE,10,1,ANYWAY,12,2009
DAVID GUETTA,11,1,WHEN LOVE TAKES OVER,12,2009
DIZZEE RASCAL,12,1,BONKERS,12,2009
EXAMPLE,13,3,WATCH THE SUN COME UP,12,2009
CALVIN HARRIS,14,1,READY FOR THE WEEKEND,12,2009
PRODIGY,15,15,INVADERS MUST DIE,12,2009
DEADMAU5,16,2,GHOSTS 'N' STUFF,12,2009
LMFAO,17,17,I'M IN MIAMI BITCH,12,2009
SOURCE,18,2,YOU GOT THE LOVE,12,2009
CALVIN HARRIS,19,15,I'M NOT ALONE,12,2009
CASCADA,20,14,EVACUATE THE DANCEFLOOR,12,2009
DEADMAU5,21,1,I REMEMBER,12,2009
J MAJIK,22,18,FEEL ABOUT YOU,12,2009
MADONNA,23,1,CELEBRATION,12,2009
DIZZEE RASCAL,24,1,DANCE WIV ME,12,2009
SCOOTER,25,25,J'ADORE HARDCORE,12,2009
JUSTICE,26,26,GENESIS,12,2009
AGNES,27,26,RELEASE ME,12,2009
NNEKA,28,28,HEARTBEAT,12,2009
CHICANE,29,29,POPPIHOLLA,12,2009
KID CUDI,30,1,DAY 'N' NITE,12,2009
PRODIGY,31,1,WARRIOR'S DANCE,12,2009
CHASE,32,1,PIECES,12,2009
GURU JOSH PROJECT,33,1,INFINITY 2008,12,2009
PRODIGY,34,1,OMEN,12,2009
MEDINA,35,33,YOU AND I,12,2009
ULTRABEAT,36,16,USE SOMEBODY,12,2009
RUI DA SILVA,37,3,TOUCH ME,12,2009
SNAP,38,5,RHYTHM IS A DANCER '08,12,2009
GEORGE MICHAEL,39,7,FASTLOVE,12,2009
DJ SAMMY,40,3,HEAVEN,12,2009
CHUCKIE,1,1,LET THE BASS KICK IN MIAMI GIRL,1,2010
